scenario,metric,n,mean,median,stdev,ci95_halfwidth,ci95_lower,ci95_upper
env_communication_delay,communication_load,0,,,,,,
env_partial_sensor_failure,collision_risk_count,0,,,,,,
env_partial_sensor_failure,total_near_misses,0,,,,,,
env_partial_sensor_failure,mission_success,0,,,,,,
env_partial_sensor_failure,avg_response_time_s,0,,,,,,
env_partial_sensor_failure,avg_formation_error,0,,,,,,
env_partial_sensor_failure,unnecessary_avoidance_count,0,,,,,,
env_partial_sensor_failure,missed_response_count,0,,,,,,
env_partial_sensor_failure,wrong_decisions,0,,,,,,
env_partial_sensor_failure,swarm_stability,0,,,,,,
env_partial_sensor_failure,rmse_position_error,0,,,,,,
env_partial_sensor_failure,velocity_estimation_error,0,,,,,,
env_partial_sensor_failure,track_continuity,0,,,,,,
env_partial_sensor_failure,track_fragmentation,0,,,,,,
env_partial_sensor_failure,false_track_count,0,,,,,,
env_partial_sensor_failure,missed_track_count,0,,,,,,
env_partial_sensor_failure,track_confirmation_time_steps,0,,,,,,
env_partial_sensor_failure,track_loss_duration_steps,0,,,,,,
env_partial_sensor_failure,association_error_count,0,,,,,,
