comparison_group,group_a,group_b,metric,n_a,n_b,mean_a,mean_b,mean_diff,t_stat,p_value_normal_approx,significant_95
baseline_vs_scenario,baseline,very_high_P_FA,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,very_high_P_FA,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,very_high_P_FA,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,very_high_P_FA,rmse_position_error,20,20,0.6147,0.6215,-0.0069,-1.8413,0.0656,False
baseline_vs_scenario,baseline,high_clutter,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,high_clutter,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,high_clutter,avg_response_time_s,20,20,0.0013,0.0019,-0.0006,-0.3651,0.715,False
baseline_vs_scenario,baseline,high_clutter,rmse_position_error,20,20,0.6147,0.6281,-0.0134,-3.5862,0.0003,True
baseline_vs_scenario,baseline,high_latency,collision_risk_count,20,20,0,55.85,-55.85,-335.1882,0.0,True
baseline_vs_scenario,baseline,high_latency,mission_success,20,20,1,0,1,0.0,1.0,False
baseline_vs_scenario,baseline,high_latency,avg_response_time_s,20,20,0.0013,8.0006,-7.9993,-7425.4792,0.0,True
baseline_vs_scenario,baseline,high_latency,rmse_position_error,20,20,0.6147,0.8203,-0.2057,-6.1788,0.0,True
baseline_vs_scenario,baseline,high_dropout,collision_risk_count,20,20,0,118.2,-118.2,-33.3158,0.0,True
baseline_vs_scenario,baseline,high_dropout,mission_success,20,20,1,0,1,0.0,1.0,False
baseline_vs_scenario,baseline,high_dropout,avg_response_time_s,20,20,0.0013,8.7396,-8.7383,-15.4602,0.0,True
baseline_vs_scenario,baseline,high_dropout,rmse_position_error,20,20,0.6147,0.7911,-0.1764,-1.7129,0.0867,False
baseline_vs_scenario,baseline,simultaneous_sensor_failures,collision_risk_count,20,20,0,154.45,-154.45,-33.902,0.0,True
baseline_vs_scenario,baseline,simultaneous_sensor_failures,mission_success,20,20,1,0,1,0.0,1.0,False
baseline_vs_scenario,baseline,simultaneous_sensor_failures,avg_response_time_s,20,20,0.0013,25.0511,-25.0497,-28.9316,0.0,True
baseline_vs_scenario,baseline,simultaneous_sensor_failures,rmse_position_error,20,17,0.6147,0.611,0.0036,0.0407,0.9676,False
baseline_vs_scenario,baseline,target_crossing,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,target_crossing,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,target_crossing,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,target_crossing,rmse_position_error,20,20,0.6147,0.6232,-0.0086,-2.3203,0.0203,True
baseline_vs_scenario,baseline,sudden_target_appearance,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,sudden_target_appearance,mission_success,20,20,1,0.9,0.1,1.453,0.1462,False
baseline_vs_scenario,baseline,sudden_target_appearance,avg_response_time_s,20,20,0.0013,0.0019,-0.0006,-0.2857,0.7751,False
baseline_vs_scenario,baseline,sudden_target_appearance,rmse_position_error,20,20,0.6147,0.6287,-0.014,-3.2123,0.0013,True
baseline_vs_scenario,baseline,rapidly_moving_obstacle,collision_risk_count,20,20,0,8.5,-8.5,-2.0848,0.0371,True
baseline_vs_scenario,baseline,rapidly_moving_obstacle,mission_success,20,20,1,0.2,0.8,8.7178,0.0,True
baseline_vs_scenario,baseline,rapidly_moving_obstacle,avg_response_time_s,20,20,0.0013,2.1831,-2.1818,-77.2743,0.0,True
baseline_vs_scenario,baseline,rapidly_moving_obstacle,rmse_position_error,20,20,0.6147,2.2036,-1.5889,-77.3416,0.0,True
baseline_vs_scenario,baseline,overconfident_faulty_sensor,collision_risk_count,20,20,0,3.05,-3.05,-4.3253,0.0,True
baseline_vs_scenario,baseline,overconfident_faulty_sensor,mission_success,20,20,1,0.3,0.7,6.6583,0.0,True
baseline_vs_scenario,baseline,overconfident_faulty_sensor,avg_response_time_s,20,20,0.0013,1.3634,-1.362,-53.9719,0.0,True
baseline_vs_scenario,baseline,overconfident_faulty_sensor,rmse_position_error,20,20,0.6147,0.6108,0.0038,0.7593,0.4477,False
baseline_vs_scenario,baseline,wrong_trust_assignment,collision_risk_count,20,20,0,5.8,-5.8,-6.7185,0.0,True
baseline_vs_scenario,baseline,wrong_trust_assignment,mission_success,20,20,1,0.1,0.9,13.0767,0.0,True
baseline_vs_scenario,baseline,wrong_trust_assignment,avg_response_time_s,20,20,0.0013,2.2407,-2.2393,-56.0327,0.0,True
baseline_vs_scenario,baseline,wrong_trust_assignment,rmse_position_error,20,20,0.6147,0.5795,0.0352,5.1796,0.0,True
baseline_vs_scenario,baseline,correctly_calibrated_radar,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,correctly_calibrated_radar,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,correctly_calibrated_radar,avg_response_time_s,20,20,0.0013,0.0314,-0.0301,-5.7616,0.0,True
baseline_vs_scenario,baseline,correctly_calibrated_radar,rmse_position_error,20,20,0.6147,0.6656,-0.0509,-9.187,0.0,True
baseline_vs_scenario,baseline,mildly_overconfident_radar,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,mildly_overconfident_radar,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,mildly_overconfident_radar,avg_response_time_s,20,20,0.0013,0.0314,-0.0301,-5.7616,0.0,True
baseline_vs_scenario,baseline,mildly_overconfident_radar,rmse_position_error,20,20,0.6147,0.6664,-0.0517,-9.4649,0.0,True
baseline_vs_scenario,baseline,severely_overconfident_radar,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,severely_overconfident_radar,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,severely_overconfident_radar,avg_response_time_s,20,20,0.0013,0.0314,-0.0301,-5.7616,0.0,True
baseline_vs_scenario,baseline,severely_overconfident_radar,rmse_position_error,20,20,0.6147,0.6665,-0.0518,-9.6119,0.0,True
baseline_vs_scenario,baseline,underconfident_radar,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,underconfident_radar,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,underconfident_radar,avg_response_time_s,20,20,0.0013,0.0314,-0.0301,-5.7616,0.0,True
baseline_vs_scenario,baseline,underconfident_radar,rmse_position_error,20,20,0.6147,0.665,-0.0504,-8.4651,0.0,True
baseline_vs_scenario,baseline,high_confidence_false_alarms,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,high_confidence_false_alarms,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,high_confidence_false_alarms,avg_response_time_s,20,20,0.0013,0.0296,-0.0283,-4.7968,0.0,True
baseline_vs_scenario,baseline,high_confidence_false_alarms,rmse_position_error,20,20,0.6147,0.6678,-0.0531,-12.2345,0.0,True
baseline_vs_scenario,baseline,high_confidence_incorrect_tracks,collision_risk_count,20,20,0,0.15,-0.15,-1.0,0.3173,False
baseline_vs_scenario,baseline,high_confidence_incorrect_tracks,mission_success,20,20,1,0.95,0.05,1.0,0.3173,False
baseline_vs_scenario,baseline,high_confidence_incorrect_tracks,avg_response_time_s,20,20,0.0013,0.032,-0.0307,-5.9636,0.0,True
baseline_vs_scenario,baseline,high_confidence_incorrect_tracks,rmse_position_error,20,20,0.6147,1.8941,-1.2794,-81.6825,0.0,True
baseline_vs_scenario,baseline,low_confidence_correct_detections,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,low_confidence_correct_detections,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,low_confidence_correct_detections,avg_response_time_s,20,20,0.0013,0.005,-0.0037,-1.2809,0.2002,False
baseline_vs_scenario,baseline,low_confidence_correct_detections,rmse_position_error,20,20,0.6147,0.5498,0.0648,15.9416,0.0,True
baseline_vs_scenario,baseline,registration_perfect,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_perfect,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_perfect,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_perfect,rmse_position_error,20,20,0.6147,0.6189,-0.0042,-1.121,0.2623,False
baseline_vs_scenario,baseline,registration_small_error,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_small_error,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_small_error,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_small_error,rmse_position_error,20,20,0.6147,0.6189,-0.0042,-1.121,0.2623,False
baseline_vs_scenario,baseline,registration_medium_error,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_medium_error,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_medium_error,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_medium_error,rmse_position_error,20,20,0.6147,0.6189,-0.0042,-1.121,0.2623,False
baseline_vs_scenario,baseline,registration_severe_error,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_severe_error,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_severe_error,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_severe_error,rmse_position_error,20,20,0.6147,0.6189,-0.0042,-1.121,0.2623,False
baseline_vs_scenario,baseline,registration_drifting_error,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_drifting_error,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_drifting_error,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,registration_drifting_error,rmse_position_error,20,20,0.6147,0.6189,-0.0042,-1.121,0.2623,False
baseline_vs_scenario,baseline,safety_margin_fixed,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,safety_margin_fixed,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,safety_margin_fixed,avg_response_time_s,20,20,0.0013,0.0982,-0.0969,-11.3706,0.0,True
baseline_vs_scenario,baseline,safety_margin_fixed,rmse_position_error,20,20,0.6147,0.6289,-0.0142,-3.4281,0.0006,True
baseline_vs_scenario,baseline,safety_margin_covariance,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,safety_margin_covariance,mission_success,20,20,1,0.15,0.85,10.3763,0.0,True
baseline_vs_scenario,baseline,safety_margin_covariance,avg_response_time_s,20,20,0.0013,0.1033,-0.1021,-12.2577,0.0,True
