scenario,trial,seed,status,runtime_seconds,false_positive_rate,false_negative_rate,noise_level,latency_steps,dropout_probability,confidence_error_level,fusion_mode,collision_count,total_near_misses,collision_risk_count,minimum_separation,mission_success,mission_completion_time_s,avg_response_time_s,formation_error_rmse,unnecessary_avoidance_count,missed_response_count,hold_duration,wrong_decisions,swarm_stability,rmse_position_error,velocity_rmse,track_continuity,track_fragmentation,false_detections,missed_detections,false_tracks,missed_tracks,track_confirmation_time_steps,track_loss_duration_steps,average_track_lifetime_steps,association_errors,average_covariance,messages_sent,messages_received,messages_dropped,stale_messages,avg_message_delay_steps,communication_load,max_outage_duration_steps,avg_recovery_time_steps,error
false_negative,9,50,PASS,1.2283,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,45,0,,1,,0.062,4.4653,0,14,0,14,1.2008,0.5972,0.1183,0.3313,2,0,108,0,0,7.6,1.3012,72.8333,0,3.4034,1900,443,1457,0,2,4.2889,0,,
false_negative,10,51,PASS,1.3022,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,64,0,,1,,0.075,4.8711,0,19,0,19,1.5285,0.6135,0.1091,0.3275,3,0,98,0,0,2.8333,1.2895,62.1429,0,3.4819,1900,442,1458,0,2,4.2986,0,,
false_negative,11,52,PASS,1.0778,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,47,0,,1,,0.1,4.5883,0,8,0,8,1.2455,0.6503,0.1222,0.3236,5,0,107,0,0,3,1.3896,47.7778,0,4.2284,1896,439,1457,0,2,4.3189,0,,
false_negative,12,53,PASS,1.1769,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,81,0,,1,,0.013,4.7176,0,19,0,19,1.384,0.6474,0.1232,0.3245,6,0,119,0,0,6,1.3678,43.5,0,5.0187,1920,445,1475,0,2,4.3146,0,,
false_negative,13,54,PASS,1.019,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,52,0,,1,,0.062,4.4133,0,15,0,15,1.1047,0.6156,0.1151,0.3239,4,0,90,0,0,2.875,1.3235,53.5,0,3.726,1882,436,1446,0,2,4.3165,0,,
false_negative,14,55,PASS,1.0403,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,49,0,,1,,0.062,5.0344,0,12,0,12,1.6377,0.6079,0.1188,0.3341,3,0,115,0,0,5.6667,1.2778,63.2857,0,3.8132,1906,450,1456,0,2,4.2356,0,,
false_negative,15,56,PASS,1.3189,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,46,0,,1,,0.075,4.0377,0,20,0,20,0.7972,0.6556,0.1217,0.3238,6,0,87,0,0,2,1.3182,42.5,0,5.0512,1898,435,1463,0,2,4.3632,0,,
false_negative,16,57,PASS,1.2024,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,51,0,,1,,0.025,4.5633,0,17,0,17,1.2638,0.6532,0.1234,0.3293,7,0,101,0,0,4.4,1.3467,39.5455,0,4.9177,1920,446,1474,0,2,4.3049,0,,
false_negative,17,58,PASS,1.2774,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,52,0,,1,,0.05,4.1109,0,6,0,6,0.8372,0.5889,0.1202,0.3208,7,0,108,0,0,3.6,1.3171,38.3636,0,4.8204,1882,433,1449,0,2,4.3464,0,,
false_negative,18,59,PASS,1.279,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,52,0,,1,,0.05,4.2301,0,16,0,16,0.9323,0.611,0.1183,0.3187,5,0,108,0,0,2.4286,1.3671,46.6667,0,4.5005,1882,429,1453,0,2,4.3869,0,,
false_negative,19,60,PASS,1.0912,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,57,0,,1,,0.062,4.8047,0,18,0,18,1.4766,0.6074,0.1076,0.3196,13,0,129,0,0,2.3333,1.4494,25.1765,0,7.432,1914,445,1469,0,2,4.3011,0,,
false_negative,20,61,PASS,1.033,0.0,0.25,0.0,0,0.0,0.0,no_fusion,0,45,0,,1,,0.038,4.3276,0,12,0,12,1.0774,0.6493,0.1128,0.3259,6,0,99,0,0,4,1.4143,43.1,0,4.8462,1896,441,1455,0,2,4.2993,0,,
sensor_noise,1,42,PASS,1.2405,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,66,0,,1,,0.0,4.8406,0,0,0,0,1.4799,0.6115,0.1152,0.3318,0,0,1,0,0,2,1,110.75,0,2.1482,1924,447,1477,0,2,4.3043,0,,
sensor_noise,2,43,PASS,1.2996,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,50,0,,1,,0.0,4.807,0,0,0,0,1.4452,0.6283,0.1173,0.3326,0,0,1,0,0,2,1,110.25,0,2.1533,1920,445,1475,0,2,4.3146,0,,
sensor_noise,3,44,PASS,1.4068,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,50,0,,1,,0.013,4.6926,0,0,0,0,1.344,0.6155,0.1135,0.33,0,0,2,0,0,2,1,109.25,0,2.1712,1908,441,1467,0,2,4.3265,0,,
sensor_noise,4,45,PASS,1.4467,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,53,0,,1,,0.0,4.794,0,0,0,0,1.4493,0.6284,0.1205,0.3313,0,0,1,0,0,2,1,110,0,2.1558,1916,444,1472,0,2,4.3153,0,,
sensor_noise,5,46,PASS,1.6874,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,48,0,,1,,0.0,4.7101,0,0,0,0,1.3664,0.6159,0.1128,0.3333,0,0,1,0,0,2,1,110.25,0,2.1533,1920,445,1475,0,2,4.3146,0,,
sensor_noise,6,47,PASS,1.4456,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,52,0,,1,,0.0,4.6034,0,0,0,0,1.2846,0.6166,0.11,0.3361,0,0,0,0,0,2,,111.25,0,2.1417,1926,449,1477,0,2,4.2895,0,,
sensor_noise,7,48,PASS,1.2622,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,59,0,,1,,0.0,4.7706,0,0,0,0,1.4255,0.6248,0.1159,0.3354,0,0,0,0,0,2,,111.5,0,2.1392,1924,450,1474,0,2,4.2756,0,,
sensor_noise,8,49,PASS,1.2918,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,50,0,,1,,0.013,4.7596,0,0,0,0,1.394,0.6303,0.1173,0.3313,0,0,0,0,0,2,,109.75,0,2.1569,1914,443,1471,0,2,4.3205,0,,
sensor_noise,9,50,PASS,1.3194,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,49,0,,1,,0.0,4.1871,0,0,0,0,0.9029,0.6536,0.1232,0.3267,0,0,1,0,0,2,1,107.25,0,2.1847,1892,433,1459,0,2,4.3695,0,,
sensor_noise,10,51,PASS,1.3371,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,61,0,,1,,0.0,4.6988,0,0,0,0,1.3499,0.6198,0.1151,0.33,0,0,0,0,0,2,,109.75,0,2.1569,1910,443,1467,0,2,4.3115,0,,
sensor_noise,11,52,PASS,1.4438,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,47,0,,1,,0.0,4.0794,0,0,0,0,0.809,0.6258,0.1164,0.3246,0,0,3,0,0,2,1,106.5,0,2.1957,1894,430,1464,0,2,4.4047,0,,
sensor_noise,12,53,PASS,1.4667,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,48,0,,1,,0.0,4.3625,0,0,0,0,1.061,0.6239,0.1098,0.3326,0,0,1,0,0,2,1,109.75,0,2.1584,1914,443,1471,0,2,4.3205,0,,
sensor_noise,13,54,PASS,1.5733,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,48,0,,1,,0.0,4.25,0,0,0,0,0.9668,0.6257,0.1111,0.3254,0,0,2,0,0,2.75,1,107,0,2.2359,1884,432,1452,0,2,4.3611,0,,
sensor_noise,14,55,PASS,1.3996,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,76,0,,1,,0.0,4.1635,0,0,0,0,0.8674,0.6313,0.1175,0.3237,0,0,1,0,0,2,1,107.5,0,2.182,1898,434,1464,0,2,4.3733,0,,
sensor_noise,15,56,PASS,1.2834,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,57,0,,1,,0.0,4.6406,0,0,0,0,1.3239,0.6214,0.1178,0.3354,0,0,1,0,0,2,1,111.5,0,2.1407,1928,450,1478,0,2,4.2844,0,,
sensor_noise,16,57,PASS,1.3234,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,46,0,,1,,0.0,4.7842,0,0,0,0,1.431,0.6407,0.1168,0.3331,0,0,1,0,0,2,1,110.25,0,2.1533,1920,445,1475,0,2,4.3146,0,,
sensor_noise,17,58,PASS,1.502,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,54,0,,1,,0.0,4.2977,0,0,0,0,0.9855,0.618,0.1131,0.3249,0,0,0,0,0,2,,107,0,2.1859,1894,432,1462,0,2,4.3843,0,,
sensor_noise,18,59,PASS,1.4195,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,49,0,,1,,0.0,4.7522,0,0,0,0,1.3924,0.6271,0.1164,0.3321,0,0,0,0,0,2,,110,0,2.1544,1918,444,1474,0,2,4.3198,0,,
sensor_noise,19,60,PASS,1.4991,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,51,0,,1,,0.0,4.1272,0,0,0,0,0.8478,0.6247,0.1131,0.3262,0,0,1,0,0,2,1,107,0,2.1874,1896,432,1464,0,2,4.3889,0,,
sensor_noise,20,61,PASS,1.4754,0.0,0.0,1.5,0,0.0,0.0,no_fusion,0,46,0,,1,,0.0,4.7907,0,0,0,0,1.4469,0.6145,0.1142,0.3333,0,0,1,0,0,2.75,1,110.5,0,2.1962,1912,446,1466,0,2,4.287,0,,
latency,1,42,PASS,1.8036,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,43,0,,1,,1.0,4.8816,0,0,0,0,1.5051,0.6047,0.1111,0.3349,0,0,2,0,0,2,1,110.75,0,2.1496,1926,447,1479,0,2,4.3087,0,,
latency,2,43,PASS,1.211,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,34,0,,1,,1.0,4.449,0,0,0,0,1.1521,0.6047,0.1098,0.3318,0,0,0,0,0,2,,109.25,0,2.1621,1906,441,1465,0,2,4.322,0,,
latency,3,44,PASS,1.2541,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,40,0,,1,,1.012,4.7098,0,0,0,0,1.3752,0.6042,0.1097,0.3338,0,0,2,0,0,2,1,110.25,0,2.1608,1922,445,1477,0,2,4.3191,0,,
latency,4,45,PASS,1.2528,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,42,0,,1,,1.0,4.9978,0,0,0,0,1.6276,0.6115,0.1192,0.3374,1,0,0,0,0,2,,89.8,0,2.5659,1940,454,1486,0,2,4.2731,0,,
latency,5,46,PASS,1.4313,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,46,0,,1,,1.0,4.9148,0,0,0,0,1.5516,0.625,0.1087,0.3366,0,0,0,0,0,2,,111.5,0,2.1392,1932,450,1482,0,2,4.2933,0,,
latency,6,47,PASS,2.004,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,44,0,,1,,1.0,5.1431,0,0,0,0,1.7404,0.598,0.1125,0.3351,0,0,1,0,0,2,1,111,0,2.1442,1922,448,1474,0,2,4.2902,0,,
latency,7,48,PASS,1.6301,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,41,0,,1,,1.0,4.7005,0,0,0,0,1.3698,0.6063,0.1161,0.3359,0,0,0,0,0,2,,111.25,0,2.1417,1928,449,1479,0,2,4.294,0,,
latency,8,49,PASS,1.2743,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,40,0,,1,,1.012,4.8884,0,0,0,0,1.5122,0.6409,0.1172,0.3366,0,0,1,0,0,2,1,111.25,0,2.1432,1930,449,1481,0,2,4.2984,0,,
latency,9,50,PASS,1.2377,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,42,0,,1,,1.0,4.9533,0,0,0,0,1.5679,0.6455,0.118,0.3356,0,0,0,0,0,2,,111,0,2.1442,1928,448,1480,0,2,4.3036,0,,
latency,10,51,PASS,1.4161,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,44,0,,1,,1.0,4.7443,0,0,0,0,1.3846,0.5803,0.1135,0.3333,0,0,1,0,0,2,1,110,0,2.1566,1918,444,1474,0,2,4.3198,0,,
latency,11,52,PASS,1.2607,0.0,0.0,0.0,5,0.0,0.0,no_fusion,0,39,0,,1,,1.0,4.8125,0,0,0,0,1.473,0.5973,0.1121,0.3402,0,0,2,0,0,2,1,112.5,0,2.1322,1944,454,1490,0,2,4.2819,0,,
