time_step,uav_id,uav_x,uav_y,true_target_x,true_target_y,true_target_vx,true_target_vy,radar_id,true_range,true_bearing,true_radial_velocity,measured_range,measured_bearing,measured_radial_velocity,detected_x,detected_y,radar_confidence,radar_snr,radar_track_id,track_status,false_alarm_flag,missed_detection_flag,clutter_flag,dropout_flag,latency_steps,fusion_mode,fused_x,fused_y,action_taken,collision_risk_flag,near_miss_flag,unnecessary_avoidance_flag,missed_response_flag,mission_success_flag,formation_error
19,0,10.7854,10.5254,50.0,50.0,0.0,0.0,0,56.0419,0.78851,-1.9993,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5437
19,1,10.8599,20.4463,50.0,50.0,0.0,0.0,1,49.4425,0.64757,-1.9898,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5437
19,2,20.1286,11.1398,50.0,50.0,0.0,0.0,2,49.4141,0.91511,-1.9984,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5437
19,3,20.8097,20.4998,50.0,50.0,0.0,0.0,3,41.9008,0.79037,-1.999,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5437
20,0,11.0746,10.8016,50.0,50.0,0.0,0.0,0,55.642,0.7887,-1.9993,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5272
20,1,11.1529,20.7186,50.0,50.0,0.0,0.0,1,49.0446,0.64674,-1.9896,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5272
20,2,20.385,11.4468,50.0,50.0,0.0,0.0,2,49.0144,0.91544,-1.9984,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5272
20,3,21.1001,20.7748,50.0,50.0,0.0,0.0,3,41.5011,0.79068,-1.9989,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5272
21,0,11.3639,11.0779,50.0,50.0,0.0,0.0,0,55.2422,0.78889,-1.9993,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5107
21,1,11.4459,20.9909,50.0,50.0,0.0,0.0,1,48.6467,0.6459,-1.9894,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5107
21,2,20.6414,11.7538,50.0,50.0,0.0,0.0,2,48.6148,0.91577,-1.9983,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5107
21,3,21.3906,21.0498,50.0,50.0,0.0,0.0,3,41.1013,0.791,-1.9989,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.5107
22,0,11.6532,11.3542,50.0,50.0,0.0,0.0,0,54.8423,0.78909,-1.9993,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4945
22,1,11.7389,21.2632,50.0,50.0,0.0,0.0,1,48.2488,0.64505,-1.9892,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4945
22,2,20.8979,12.0608,50.0,50.0,0.0,0.0,2,48.2151,0.91611,-1.9983,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4945
22,3,21.6811,21.3248,50.0,50.0,0.0,0.0,3,40.7015,0.79132,-1.9989,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4945
23,0,11.9424,11.6304,50.0,50.0,0.0,0.0,0,54.4425,0.78928,-1.9993,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4783
