scenario,step,time_s,uav_id,x,y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,actual_target_x,actual_target_y,perceived_target_x,perceived_target_y,error_type,action_taken,num_perceived_detections,num_phantom_detections,dist_to_target,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,reached_goal,mission_completed_flag
baseline,28,5.6,0,13.872,9.007,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,113.932,uav_2,11.372,False,False,False,False,False
baseline,28,5.6,1,9.064,24.519,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,106.669,uav_3,11.802,False,False,False,False,False
baseline,28,5.6,2,25.139,10.544,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,100.086,uav_0,11.372,False,False,False,False,False
baseline,28,5.6,3,20.855,25.005,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,92.203,uav_1,11.802,False,False,False,False,False
baseline,29,5.8,0,14.119,9.322,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,113.534,uav_2,11.389,False,False,False,False,False
baseline,29,5.8,1,9.332,24.816,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,106.272,uav_3,11.84,False,False,False,False,False
baseline,29,5.8,2,25.406,10.843,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,1,0,99.687,uav_0,11.389,False,False,False,False,False
baseline,29,5.8,3,21.164,25.259,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,1,0,91.803,uav_1,11.84,False,False,False,False,False
baseline,30,6.0,0,14.365,9.637,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,113.137,uav_2,11.407,False,False,False,False,False
baseline,30,6.0,1,9.6,25.113,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,105.875,uav_3,11.881,False,False,False,False,False
baseline,30,6.0,2,25.672,11.141,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,1,0,99.288,uav_0,11.407,False,False,False,False,False
baseline,30,6.0,3,21.474,25.512,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,1,0,91.404,uav_1,11.881,False,False,False,False,False
baseline,31,6.2,0,14.611,9.952,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,112.74,uav_2,11.486,False,False,False,False,False
baseline,31,6.2,1,9.867,25.411,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,105.479,uav_3,11.835,False,False,False,False,False
baseline,31,6.2,2,26.012,11.352,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,98.914,uav_0,11.486,False,False,False,False,False
baseline,31,6.2,3,21.694,25.846,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,91.018,uav_1,11.835,False,False,False,False,False
baseline,32,6.4,0,14.853,10.271,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,112.343,uav_2,11.509,False,False,False,False,False
baseline,32,6.4,1,10.135,25.708,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,105.082,uav_3,11.875,False,False,False,False,False
