scenario,time_step,radar_id,track_id,est_x,est_y,est_vx,est_vy,confidence,age,missed_count,status
baseline,9,3,r3_t1,7.6183,7.1298,3.7873,2.1364,0.434,10,0,confirmed
baseline,9,3,r3_t2,7.4573,16.9781,2.1396,1.9664,0.601,10,0,confirmed
baseline,9,3,r3_t3,17.2844,7.4101,1.5506,2.2158,0.611,10,0,confirmed
baseline,10,0,r0_t1,7.9425,17.3795,2.4009,1.7668,0.602,11,0,confirmed
baseline,10,0,r0_t2,17.5153,8.3115,2.7758,3.4515,0.613,11,0,confirmed
baseline,10,0,r0_t3,17.9986,17.6637,3.0648,1.9751,0.434,11,0,confirmed
baseline,10,1,r1_t1,7.7382,7.6294,2.6117,1.2636,0.602,11,0,confirmed
baseline,10,1,r1_t2,17.4994,8.0912,3.8409,3.0458,0.454,11,0,confirmed
baseline,10,1,r1_t3,17.3019,17.4398,1.4529,1.6452,0.601,11,0,confirmed
baseline,10,2,r2_t1,7.7091,7.4539,2.1343,1.6763,0.613,11,0,confirmed
baseline,10,2,r2_t2,7.5076,17.4625,2.6127,1.7299,0.454,11,0,confirmed
baseline,10,2,r2_t3,18.1007,17.3574,3.545,1.9509,0.613,11,0,confirmed
baseline,10,3,r3_t1,7.8644,7.7962,2.9188,3.8447,0.434,11,0,confirmed
baseline,10,3,r3_t2,7.9273,17.496,3.0284,3.1409,0.601,11,0,confirmed
baseline,10,3,r3_t3,17.075,7.6251,-0.0972,2.0038,0.613,11,0,confirmed
baseline,11,0,r0_t1,7.9498,17.5945,1.231,1.7795,0.602,12,0,confirmed
baseline,11,0,r0_t2,17.5504,8.5767,1.5343,2.8307,0.614,12,0,confirmed
baseline,11,0,r0_t3,17.946,17.8116,1.3131,1.6037,0.434,12,0,confirmed
baseline,11,1,r1_t1,7.6842,7.9263,1.0809,1.8688,0.602,12,0,confirmed
baseline,11,1,r1_t2,17.6139,8.3548,2.3977,2.6214,0.456,12,0,confirmed
baseline,11,1,r1_t3,18.0036,17.6981,3.6506,1.8988,0.601,12,0,confirmed
baseline,11,2,r2_t1,7.918,7.9094,1.9377,2.7359,0.614,12,0,confirmed
baseline,11,2,r2_t2,8.0949,18.1976,3.7533,3.9279,0.456,12,0,confirmed
baseline,11,2,r2_t3,17.7884,18.1355,0.4712,4.2178,0.614,12,0,confirmed
baseline,11,3,r3_t1,7.9789,8.1598,1.9365,3.4374,0.434,12,0,confirmed
baseline,11,3,r3_t2,7.9898,17.7922,1.7747,2.8048,0.601,12,0,confirmed
baseline,11,3,r3_t3,17.4198,8.1913,1.3882,3.3611,0.614,12,0,confirmed
baseline,12,0,r0_t1,8.2085,17.9074,1.6935,2.1935,0.602,13,0,confirmed
baseline,12,0,r0_t2,18.0702,8.7784,2.9329,2.2556,0.615,13,0,confirmed
baseline,12,0,r0_t3,18.3446,18.0032,2.3174,1.6003,0.434,13,0,confirmed
baseline,12,1,r1_t1,7.6586,8.0627,0.434,1.5029,0.602,13,0,confirmed
baseline,12,1,r1_t2,17.872,8.5593,2.2742,2.1626,0.458,13,0,confirmed
baseline,12,1,r1_t3,18.4431,18.0718,3.6562,2.5064,0.601,13,0,confirmed
baseline,12,2,r2_t1,8.1918,8.3896,2.1096,3.3688,0.615,13,0,confirmed
baseline,12,2,r2_t2,8.2819,18.843,2.6557,4.6531,0.458,13,0,confirmed
baseline,12,2,r2_t3,18.4416,17.9841,2.9571,1.4781,0.615,13,0,confirmed
baseline,12,3,r3_t1,8.0223,7.7851,1.1493,0.1575,0.434,13,0,confirmed
baseline,12,3,r3_t2,8.3007,18.4131,2.1828,3.9896,0.601,13,0,confirmed
baseline,12,3,r3_t3,17.8472,8.2238,2.4748,1.8157,0.615,13,0,confirmed
baseline,13,0,r0_t1,8.2283,18.231,0.9289,2.4452,0.602,14,0,confirmed
baseline,13,0,r0_t2,18.0988,8.6626,1.5858,0.6454,0.617,14,0,confirmed
baseline,13,0,r0_t3,18.2302,18.0103,0.6822,0.8295,0.434,14,0,confirmed
baseline,13,1,r1_t1,8.4858,8.2388,3.6637,1.4849,0.602,14,0,confirmed
baseline,13,1,r1_t2,18.0737,9.1055,1.9775,3.3571,0.461,14,0,confirmed
baseline,13,1,r1_t3,18.602,18.2583,2.4902,2.0305,0.601,14,0,confirmed
baseline,13,2,r2_t1,8.722,8.3778,3.2641,1.6352,0.617,14,0,confirmed
baseline,13,2,r2_t2,8.0534,17.8735,0.376,-1.713,0.461,14,0,confirmed
baseline,13,2,r2_t3,18.5685,18.145,2.0074,1.4095,0.616,14,0,confirmed
baseline,13,3,r3_t1,8.6847,8.2374,3.3346,1.9633,0.434,14,0,confirmed
baseline,13,3,r3_t2,8.5192,18.4303,2.0016,2.0664,0.601,14,0,confirmed
baseline,13,3,r3_t3,18.3024,8.6527,3.1342,2.6949,0.616,14,0,confirmed
baseline,14,0,r0_t1,8.8888,18.9801,3.2168,4.3435,0.602,15,0,confirmed
baseline,14,0,r0_t2,18.3133,9.1029,1.6866,2.1572,0.618,15,0,confirmed
baseline,14,0,r0_t3,18.6165,18.7286,1.9506,3.4075,0.434,15,0,confirmed
baseline,14,1,r1_t1,8.6299,8.426,2.432,1.5228,0.602,15,0,confirmed
baseline,14,1,r1_t2,18.6834,9.4875,3.5292,3.2703,0.463,15,0,confirmed
baseline,14,1,r1_t3,19.0883,18.7113,3.2717,2.9024,0.601,15,0,confirmed
baseline,14,2,r2_t1,8.8128,8.5198,2.0103,1.4094,0.618,15,0,confirmed
baseline,14,2,r2_t2,8.1957,17.9567,0.781,-0.5098,0.463,15,0,confirmed
baseline,14,2,r2_t3,18.7784,18.7291,1.8785,3.1381,0.617,15,0,confirmed
baseline,14,3,r3_t1,9.1252,8.6202,3.5025,2.5767,0.434,15,0,confirmed
baseline,14,3,r3_t2,9.0591,18.5852,3.2506,1.6784,0.601,15,0,confirmed
baseline,14,3,r3_t3,18.6505,8.9737,3.0176,2.685,0.617,15,0,confirmed
baseline,15,0,r0_t1,9.0434,18.9877,2.2526,2.2036,0.602,16,0,confirmed
