scenario,metric,n,mean,median,stdev,ci95_halfwidth,ci95_lower,ci95_upper
trust_weighted_fusion,track_loss_duration_steps,20,1.2368,1.2481,0.0619,0.0271,1.2097,1.264
trust_weighted_fusion,average_track_lifetime_steps,20,72.3895,72.8333,17.503,7.671,64.7185,80.0606
trust_weighted_fusion,association_errors,20,0,0.0,0.0,0.0,0.0,0.0
trust_weighted_fusion,average_covariance,20,3.2119,3.1616,0.4792,0.21,3.0019,3.422
trust_weighted_fusion,messages_sent,20,1901.4,1907.0,14.4674,6.3406,1895.0594,1907.7406
trust_weighted_fusion,messages_received,20,1461.2,1464.0,9.1168,3.9956,1457.2044,1465.1956
trust_weighted_fusion,messages_dropped,20,440.2,442.5,6.6618,2.9196,437.2804,443.1196
trust_weighted_fusion,stale_messages,20,0,0.0,0.0,0.0,0.0,0.0
trust_weighted_fusion,avg_message_delay_steps,20,2,2.0,0.0,0.0,2.0,2.0
trust_weighted_fusion,communication_load,20,4.3199,4.3093,0.0398,0.0174,4.3025,4.3374
trust_weighted_fusion,max_outage_duration_steps,20,0,0.0,0.0,0.0,0.0,0.0
trust_weighted_fusion,avg_recovery_time_steps,0,,,,,,
one_uav_obstacle,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
one_uav_obstacle,total_near_misses,20,53,50.0,7.5672,3.3165,49.6835,56.3165
