scenario,num_trials,num_passed,num_failed,status,mission_success_rate,mission_success_mean,mission_success_median,mission_success_stdev,mission_success_ci95_lower,mission_success_ci95_upper,collision_risk_count_mean,collision_risk_count_median,collision_risk_count_stdev,collision_risk_count_ci95_lower,collision_risk_count_ci95_upper,avg_response_time_s_mean,avg_response_time_s_median,avg_response_time_s_stdev,avg_response_time_s_ci95_lower,avg_response_time_s_ci95_upper,rmse_position_error_mean,rmse_position_error_median,rmse_position_error_stdev,rmse_position_error_ci95_lower,rmse_position_error_ci95_upper,track_continuity_mean,track_continuity_median,track_continuity_stdev,track_continuity_ci95_lower,track_continuity_ci95_upper,communication_load_mean,communication_load_median,communication_load_stdev,communication_load_ci95_lower,communication_load_ci95_upper
high_confidence_false_alarms,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0296,0.025,0.0261,0.0182,0.041,0.6678,0.6665,0.0165,0.6605,0.675,0.3258,0.3261,0.0071,0.3227,0.3289,4.3506,4.3564,0.0624,4.3232,4.3779
high_confidence_incorrect_tracks,20,20,0,PASS,0.95,0.95,1.0,0.2236,0.852,1.048,0.15,0.0,0.6708,-0.144,0.444,0.032,0.025,0.0227,0.0221,0.0419,1.8941,1.8808,0.0693,1.8637,1.9245,0.3275,0.3276,0.0079,0.324,0.331,4.2908,4.2878,0.0447,4.2712,4.3104
low_confidence_correct_detections,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.0125,-0.0004,0.0105,0.5498,0.5513,0.0151,0.5432,0.5565,0.3283,0.3291,0.0038,0.3267,0.33,4.3477,4.3489,0.0368,4.3316,4.3639
registration_perfect,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.6189,0.6193,0.0133,0.613,0.6247,0.3311,0.3316,0.0032,0.3297,0.3326,4.3225,4.3161,0.0362,4.3066,4.3383
registration_small_error,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.6189,0.6193,0.0133,0.613,0.6247,0.3311,0.3316,0.0032,0.3297,0.3326,4.3225,4.3161,0.0362,4.3066,4.3383
registration_medium_error,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.6189,0.6193,0.0133,0.613,0.6247,0.3311,0.3316,0.0032,0.3297,0.3326,4.3225,4.3161,0.0362,4.3066,4.3383
registration_severe_error,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.6189,0.6193,0.0133,0.613,0.6247,0.3311,0.3316,0.0032,0.3297,0.3326,4.3225,4.3161,0.0362,4.3066,4.3383
registration_drifting_error,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.6189,0.6193,0.0133,0.613,0.6247,0.3311,0.3316,0.0032,0.3297,0.3326,4.3225,4.3161,0.0362,4.3066,4.3383
safety_margin_fixed,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0982,0.094,0.0379,0.0816,0.1148,0.6289,0.6281,0.0155,0.6221,0.6356,0.3099,0.3104,0.0068,0.3069,0.3129,4.2856,4.2763,0.0454,4.2658,4.3055
safety_margin_covariance,20,20,0,PASS,0.15,0.15,0.0,0.3663,-0.0106,0.3106,0,0.0,0.0,0.0,0.0,0.1033,0.088,0.037,0.0871,0.1196,0.661,0.6611,0.0198,0.6523,0.6697,0.2904,0.2896,0.0063,0.2876,0.2932,4.2632,4.2491,0.0761,4.2298,4.2966
safety_margin_confidence,20,20,0,PASS,0.8,0.8,1.0,0.4104,0.6201,0.9799,0.15,0.0,0.4894,-0.0645,0.3645,0.1046,0.094,0.059,0.0787,0.1304,0.6397,0.6379,0.0254,0.6286,0.6509,0.301,0.3033,0.0097,0.2967,0.3052,4.2796,4.2694,0.0522,4.2567,4.3025
safety_margin_quality_monitor,20,20,0,PASS,0.2,0.2,0.0,0.4104,0.0201,0.3799,0.95,0.0,1.8489,0.1397,1.7603,0.389,0.4,0.1231,0.335,0.4429,0.6168,0.6176,0.0197,0.6081,0.6254,0.2819,0.2802,0.0166,0.2746,0.2891,4.019,4.0118,0.1023,3.9741,4.0638
