ablation,scenario,trial,seed,fusion_mode,false_positive_rate,false_negative_rate,noise_level,latency_steps,dropout_probability,confidence_error_level,collision_risk_count,missed_response_count,fusion_recovery_count,mission_success,avg_response_time_s,avg_formation_error
no_radar_tracking,high_packet_loss,3,44,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,88,12,91,Yes,0.025,4.5
no_radar_tracking,high_packet_loss,4,45,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,114,17,98,No,0.05,4.449
no_radar_tracking,high_packet_loss,5,46,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,99,10,87,Yes,0.025,4.575
no_radar_tracking,short_communication_range,1,42,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,62,6,92,Yes,0.075,4.379
no_radar_tracking,short_communication_range,2,43,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,82,7,94,No,0.075,4.257
no_radar_tracking,short_communication_range,3,44,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,88,12,91,Yes,0.025,4.5
no_radar_tracking,short_communication_range,4,45,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,114,17,98,No,0.05,4.449
no_radar_tracking,short_communication_range,5,46,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,99,10,87,Yes,0.025,4.575
no_radar_tracking,delayed_track_sharing,1,42,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,62,6,92,Yes,0.075,4.379
no_radar_tracking,delayed_track_sharing,2,43,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,82,7,94,No,0.075,4.257
no_radar_tracking,delayed_track_sharing,3,44,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,88,12,91,Yes,0.025,4.5
no_radar_tracking,delayed_track_sharing,4,45,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,114,17,98,No,0.05,4.449
no_radar_tracking,delayed_track_sharing,5,46,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,99,10,87,Yes,0.025,4.575
no_radar_tracking,communication_outage,1,42,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,62,6,92,Yes,0.075,4.379
no_radar_tracking,communication_outage,2,43,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,82,7,94,No,0.075,4.257
no_radar_tracking,communication_outage,3,44,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,88,12,91,Yes,0.025,4.5
no_radar_tracking,communication_outage,4,45,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,114,17,98,No,0.05,4.449
no_radar_tracking,communication_outage,5,46,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,99,10,87,Yes,0.025,4.575
no_radar_tracking,faulty_sensor_naive_fusion,1,42,naive_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_naive_fusion,2,43,naive_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_naive_fusion,3,44,naive_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_naive_fusion,4,45,naive_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_naive_fusion,5,46,naive_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_confidence_weighted_fusion,1,42,confidence_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_confidence_weighted_fusion,2,43,confidence_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_confidence_weighted_fusion,3,44,confidence_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_confidence_weighted_fusion,4,45,confidence_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_confidence_weighted_fusion,5,46,confidence_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_trust_weighted_fusion_fixed,1,42,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_trust_weighted_fusion_fixed,2,43,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_trust_weighted_fusion_fixed,3,44,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_trust_weighted_fusion_fixed,4,45,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_trust_weighted_fusion_fixed,5,46,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_trust_weighted_fusion_dynamic,1,42,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_trust_weighted_fusion_dynamic,2,43,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_trust_weighted_fusion_dynamic,3,44,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_trust_weighted_fusion_dynamic,4,45,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_trust_weighted_fusion_dynamic,5,46,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_covariance_weighted_fusion,1,42,covariance_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_covariance_weighted_fusion,2,43,covariance_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_covariance_weighted_fusion,3,44,covariance_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_covariance_weighted_fusion,4,45,covariance_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,faulty_sensor_covariance_weighted_fusion,5,46,covariance_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,very_low_P_D,1,42,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,very_low_P_D,2,43,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,very_low_P_D,3,44,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,very_low_P_D,4,45,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,very_low_P_D,5,46,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,very_high_P_FA,1,42,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,very_high_P_FA,2,43,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,very_high_P_FA,3,44,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,very_high_P_FA,4,45,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,very_high_P_FA,5,46,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,high_clutter,1,42,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,high_clutter,2,43,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,high_clutter,3,44,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,high_clutter,4,45,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,high_clutter,5,46,trust_weighted_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,high_latency,1,42,trust_weighted_fusion,0.0,0.0,0.0,20,0.0,0.0,61,0,0,Yes,4.0,11.222
no_radar_tracking,high_latency,2,43,trust_weighted_fusion,0.0,0.0,0.0,20,0.0,0.0,61,0,0,Yes,4.0,11.222
no_radar_tracking,high_latency,3,44,trust_weighted_fusion,0.0,0.0,0.0,20,0.0,0.0,61,0,0,Yes,4.0,11.222
no_radar_tracking,high_latency,4,45,trust_weighted_fusion,0.0,0.0,0.0,20,0.0,0.0,61,0,0,Yes,4.0,11.222
no_radar_tracking,high_latency,5,46,trust_weighted_fusion,0.0,0.0,0.0,20,0.0,0.0,61,0,0,Yes,4.0,11.222
no_radar_tracking,high_dropout,1,42,trust_weighted_fusion,0.0,0.0,0.0,0,0.7,0.0,211,131,91,No,2.888,2.777
no_radar_tracking,high_dropout,2,43,trust_weighted_fusion,0.0,0.0,0.0,0,0.7,0.0,253,152,89,No,1.663,4.315
