scenario,fusion_mode,num_trials,mission_success_rate,mission_success_rate_ci95_lower,mission_success_rate_ci95_upper,collision_risk_count_mean,collision_risk_count_median,collision_risk_count_stdev,collision_risk_count_min,collision_risk_count_max,collision_risk_count_ci95_lower,collision_risk_count_ci95_upper,unnecessary_avoidance_count_mean,unnecessary_avoidance_count_median,unnecessary_avoidance_count_stdev,unnecessary_avoidance_count_min,unnecessary_avoidance_count_max,unnecessary_avoidance_count_ci95_lower,unnecessary_avoidance_count_ci95_upper,missed_response_count_mean,missed_response_count_median,missed_response_count_stdev,missed_response_count_min,missed_response_count_max,missed_response_count_ci95_lower,missed_response_count_ci95_upper,fusion_recovery_count_mean,fusion_recovery_count_median,fusion_recovery_count_stdev,fusion_recovery_count_min,fusion_recovery_count_max,fusion_recovery_count_ci95_lower,fusion_recovery_count_ci95_upper,avg_response_time_s_mean,avg_response_time_s_median,avg_response_time_s_stdev,avg_response_time_s_min,avg_response_time_s_max,avg_response_time_s_ci95_lower,avg_response_time_s_ci95_upper,total_near_misses_mean,total_near_misses_median,total_near_misses_stdev,total_near_misses_min,total_near_misses_max,total_near_misses_ci95_lower,total_near_misses_ci95_upper,avg_formation_error_mean,avg_formation_error_median,avg_formation_error_stdev,avg_formation_error_min,avg_formation_error_max,avg_formation_error_ci95_lower,avg_formation_error_ci95_upper,all_trials_passed,num_failed_trials
faulty_sensor_trust_weighted_fusion_fixed,trust_weighted_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
faulty_sensor_trust_weighted_fusion_dynamic,trust_weighted_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
faulty_sensor_covariance_weighted_fusion,covariance_weighted_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
very_low_P_D,trust_weighted_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
very_high_P_FA,trust_weighted_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
high_clutter,trust_weighted_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
high_latency,trust_weighted_fusion,20,1.0,1.0,1.0,72,72.0,0.0,72,72,72,72,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,50,50.0,0.0,50,50,50,50,9.454,9.454,0.0,9.454,9.454,9.454,9.454,PASS,0
high_dropout,trust_weighted_fusion,20,0.0,0.0,0.0,236.45,242.0,21.3898,185,259,226.4394,246.4606,0,0.0,0.0,0,0,0,0,151.35,155.5,18.4285,110,183,142.7253,159.9747,77.7,75.0,13.959,49,103,71.1671,84.2329,2.3333,2.3,1.0925,0.562,4.438,1.8219,2.8446,110.35,109.0,16.7843,85,139,102.4948,118.2052,3.8822,3.7255,0.6874,2.78,5.045,3.5605,4.2039,PASS,0
simultaneous_sensor_failures,trust_weighted_fusion,20,0.0,0.0,0.0,236,234.0,11.9473,215,261,230.4086,241.5914,13.5,13.0,3.9934,8,21,11.631,15.369,153.55,149.0,19.0966,125,192,144.6126,162.4874,74.25,75.0,12.7109,50,100,68.3012,80.1988,5.2675,5.2935,0.9899,3.9,7.025,4.8042,5.7307,94.7,95.5,9.2571,79,117,90.3676,99.0324,3.7252,3.725,0.4864,3.106,4.998,3.4976,3.9529,PASS,0
target_crossing,trust_weighted_fusion,20,1.0,1.0,1.0,75.15,73.5,8.4372,64,96,71.2013,79.0987,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,6.6,6.0,2.0622,4,12,5.6349,7.5651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,43.0,5.8208,34,57,41.0258,46.4742,3.9872,3.924,0.2246,3.696,4.437,3.8821,4.0923,PASS,0
sudden_target_appearance,trust_weighted_fusion,20,1.0,1.0,1.0,83.95,83.0,10.6102,63,106,78.9843,88.9157,218.45,217.5,14.9753,187,251,211.4414,225.4586,0,0.0,0.0,0,0,0,0,4.85,5.0,1.5313,2,8,4.1334,5.5666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.85,47.0,7.5413,33,64,44.3206,51.3794,4.0964,4.0835,0.8583,2.795,6.371,3.6947,4.4981,PASS,0
rapidly_moving_obstacle,trust_weighted_fusion,20,0.4,0.1648,0.6352,104.85,101.5,15.991,82,138,97.3661,112.3339,0,0.0,0.0,0,0,0,0,26.55,23.0,10.8214,9,51,21.4855,31.6145,129.85,131.0,11.061,105,145,124.6734,135.0266,1.0908,1.044,0.1347,0.9,1.4,1.0278,1.1538,53.3,52.5,8.2532,41,73,49.4374,57.1626,3.6702,3.6515,0.2131,3.403,4.148,3.5705,3.7699,PASS,0
overconfident_faulty_sensor,confidence_weighted_fusion,20,0.4,0.1648,0.6352,95.7,91.0,19.0293,68,146,86.7941,104.6059,66.6,66.5,6.7621,56,80,63.4353,69.7647,23,19.0,11.8544,11,59,17.452,28.548,122.25,123.5,11.9026,100,143,116.6795,127.8205,0.6697,0.638,0.1174,0.538,1.0,0.6148,0.7246,47.7,46.0,11.4758,30,71,42.3292,53.0708,3.702,3.72,0.3858,2.734,4.466,3.5215,3.8825,PASS,0
wrong_trust_assignment,trust_weighted_fusion,20,0.1,0.0,0.2441,110,113.0,19.5502,65,145,100.8503,119.1497,40.1,39.0,6.431,29,51,37.0902,43.1098,34.5,37.5,11.7451,12,53,29.0032,39.9968,150.95,150.0,8.9588,135,164,146.7572,155.1428,1.1138,1.0375,0.1666,0.925,1.45,1.0358,1.1918,52.9,53.5,9.9096,32,71,48.2622,57.5378,3.7708,3.82,0.3377,2.965,4.21,3.6127,3.9288,PASS,0
